sales_return	Sales Return
payment	Payment
data	Data
master	Master
transaction_date	Transaction Date
evidence_number	Evidence Number
batal	Cancel
belum_dibayar	Not Paid
diretur	Returned
gagal_download	Download Failed
gagal_picking	Picking Failed
packing	Packing
penempatan barang	Goods Placement
penerimaan barang_bil	Goods Receipt (BIL)
pesanan_pembelian	Purchase Order (PO)
picking	Picking
request_batal	Cancel Request
retur_online	Online Channel Return
retur_pembelian	Purchase Return
semua	All
shipping	Shipping
siap_proses	Ready to Process
stok_kosong	Empty Stock
sudah_dikirim	Shipped
transfer_keluar	Transfer Out
tambah_baris barang	Add Goods Row
tambah barang	Add Item
upload_logo_baru	Upload Logo Baru (Opsional)
cari_data	Search Data...
cari_disini	Search here...
cari_jurnal	Search Journal...
cari_kode_akun	Search account code or name...
cari_product	Search product...
simpan_data	Save Data
simpan_sebagai_draft	Save as Draft
hapus	Delete
lihat	View
lihat_detail	View Detail
tutup	Close
kembali_ke_beranda	Back to Home
lanjut	Continue
lanjutkan	Continue
proses	Process
proses_sekarang	Process Now
submit	Submit
reset	Reset
batal_transaksi	Cancel Transaction
konfirmasi	Confirm
ya	Yes
ok	OK
oke	Okay
sebelumnya	Previous
berikutnya	Next
selesai_dan_kembali	Finish & Return
simpan_sebagai	Save As
download	Download
download_format	Download Format
import	Import
import_data	Import Data
export_data	Export Data
cetak	Print
cetak_ulang	Reprint
kirim	Send
kirim_email	Send Email
kirim_pesan	Send Message
upload	Upload
upload_file	Upload File
pilih_file	Choose File
pilih	Select
pilih_semua	Select All
hapus_pilihan	Clear Selection
tambah	Add
tambah_baru	Add New
tambah_data	Add Data
tambah_data_baru	Add New Data
baru	New
data_baru	New Data
no	No
nomor	Number
keterangan_lain	Other Notes
quantity	Quantity
harga_beli	Purchase Price
harga_jual	Selling Price
total_harga	Total Price
total_nilai	Total Value
total_jumlah	Total Amount
ppn	VAT (PPN)
pph	Income Tax (PPh)
biaya_tambahan	Additional Cost
biaya_kirim	Shipping Cost
biaya_lain	Other Costs
aksi	Action
aksi_lainnya	Other Actions
tanggal_buat	Created Date
tanggal_update	Updated Date
tanggal_jatuh_tempo	Due Date
tanggal_mulai	Start Date
departemen	Department
jabatan	Position
kategori	Category
grup	Group
kelompok	Group
level	Level
prioritas	Priority
urutan	Order
referensi	Reference
no_po	PO No.
no_so	SO No.
dibuat_oleh	Created By
diupdate_oleh	Updated By
disetujui_oleh	Approved By
diterima_oleh	Received By
dikirim_oleh	Sent By
tidak_aktif	Inactive
belum_selesai	Not Completed
menunggu	Pending
menunggu_persetujuan	Waiting for Approval
dibatalkan	Cancelled
draft	Draft
terbitkan	Issue
lunas	Paid
sebagian_lunas	Partially Paid
void	Void
posted	Posted
unposted	Unposted
verified	Verified
unverified	Unverified
locked	Locked
unlocked	Unlocked
open	Open
closed	Closed
unfinished	Unfinished
running	Running
stopped	Stopped
paused	Paused
failed	Failed
success	Success
error	Error
warning	Warning
info	Information
valid	Valid
invalid	Invalid
available	Available
unavailable	Unavailable
empty	Empty
required	Required
optional	Optional
mandatory	Mandatory
public	Public
private	Private
external	External
active	Active
inactive	Inactive
enabled	Enabled
disabled	Disabled
visible	Visible
hidden	Hidden
show	Show
hide	Hide
enable	Enable
disable	Disable
allow	Allow
deny	Deny
accept	Accept
reject	Reject
approve	Approve
decline	Decline
confirm	Confirm
abort	Abort
retry	Retry
skip	Skip
ignore	Ignore
restore	Restore
archive	Archive
unarchive	Unarchive
publish	Publish
unpublish	Unpublish
pending	Pending
processing	Processing...
shipped	Shipped
delivered	Delivered
returned	Returned
refunded	Refunded
exchanged	Exchanged
transferred	Transferred
sent	Sent
read	Read
unread	Unread
starred	Starred
pinned	Pinned
blocked	Blocked
banned	Banned
suspended	Suspended
expired	Expired
disapproved	Disapproved
accepted	Accepted
confirmed	Confirmed
unconfirmed	Unconfirmed
cleared	Cleared
reconciled	Reconciled
unreconciled	Unreconciled
balanced	Balanced
unbalanced	Unbalanced
matched	Matched
unmatched	Unmatched
duplicate	Duplicate
unique	Unique
original	Original
copy	Copy
cloned	Cloned
merged	Merged
split	Split
calculated	Calculated
estimated	Estimated
actual	Actual
budget	Budget
forecast	Forecast
target	Target
realization	Realization
variance	Variance
difference	Difference
saldo	Balance
mutasi	Mutation
transaksi	Transaction
jurnal	Journal
dokumen	Document
lampiran	Attachment
file	File
gambar	Image
foto	Photo
video	Video
audio	Audio
spreadsheet	Spreadsheet
pdf	PDF
excel	Excel
csv	CSV
word	Word
text	Text
zip	ZIP
rar	RAR
other	Other
lainnya	Other
custom	Custom
default	Default
standard	Standard
advanced	Advanced
basic	Basic
simple	Simple
complex	Complex
summary	Summary
overview	Overview
analytics	Analytics
statistics	Statistics
chart	Chart
graph	Graph
table	Table
list	List
grid	Grid
card	Card
timeline	Timeline
calendar	Calendar
agenda	Agenda
schedule	Schedule
plan	Plan
planning	Planning
projection	Projection
estimation	Estimation
calculation	Calculation
measurement	Measurement
evaluation	Evaluation
assessment	Assessment
review	Review
audit	Audit
inspection	Inspection
verification	Verification
validation	Validation
confirmation	Confirmation
approval	Approval
authorization	Authorization
authentication	Authentication
permission	Permission
access	Access
right	Right
privilege	Privilege
role	Role
admin	Admin
manager	Manager
staff	Staff
employee	Employee
supervisor	Supervisor
director	Director
executive	Executive
officer	Officer
coordinator	Coordinator
assistant	Assistant
clerk	Clerk
technician	Technician
engineer	Engineer
analyst	Analyst
consultant	Consultant
advisor	Advisor
specialist	Specialist
expert	Expert
professional	Professional
vendor	Vendor
customer	Customer
client	Client
partner	Partner
contractor	Contractor
distributor	Distributor
reseller	Reseller
agent	Agent
broker	Broker
dealer	Dealer
merchant	Merchant
trader	Trader
manufacturer	Manufacturer
producer	Producer
factory	Factory
warehouse	Warehouse
gudang	Warehouse
cabang	Branch
pusat	Head Office
kantor	Office
perusahaan	Company
usaha	Business
bisnis	Business
organisasi	Organization
institusi	Institution
lembaga	Institution
yayasan	Foundation
komunitas	Community
group	Group
team	Team
department	Department
division	Division
section	Section
unit	Unit
barang	Goods
jasa	Service
layanan	Service
paket	Package
order	Order
pesanan	Order
pemesanan	Ordering
penjualan	Sales
retur	Return
pengembalian	Return
pembayaran	Payment
penerimaan	Receipt
pengiriman	Shipping
penyesuaian	Adjustment
koreksi	Correction
pembulatan	Rounding
selisih_kurs	Exchange Rate Difference
selisih_biaya	Cost Difference
cost	Cost
pengeluaran	Expense
revenue	Revenue
profit	Profit
laba	Profit
loss	Loss
rugi	Loss
neraca	Balance Sheet
arus_kas	Cash Flow
kas	Cash
cash	Cash
bank	Bank
rekening	Account
akun	Account
tipe_akun	Account Type
kategori_akun	Account Category
header_akun	Account Header
sub_akun	Sub Account
detail_akun	Account Detail
saldo_awal	Opening Balance
mutasi_debet	Debit Mutation
mutasi_kredit	Credit Mutation
trial_balance	Trial Balance
neraca_saldo	Trial Balance
jurnal_umum	General Journal
jurnal_penyesuaian	Adjusting Journal
jurnal_penutup	Closing Journal
jurnal_pembalik	Reversing Journal
bukti_jurnal	Journal Voucher
no_jurnal	Journal No.
tanggal_jurnal	Journal Date
referensi_jurnal	Journal Reference
status_jurnal	Journal Status
analisa_pivot	Pivot Analysis
arsip_dokumen_sah	Valid document archive that changes warehouse stock and financial posting basis.
aset	ASSET
audit_trail_aman	Secure and documented audit trail
auto_submit	Auto-submit when selected
bandingkan_saldo	Compare account balance between Jubelio source and ERP ledger for the same period.
barcode_label	Barcode Label & SPK Completion
batas_kredit	Credit Limit
batas_maks	Maximum Limit
bayar	Pay
bayar_sekarang	Pay Now
bayar_sebagian	Pay Partially
belum_diterima_sebagian	Partially Not Received
belum_diverifikasi	Not Verified
belum_dipilih	Not Selected
belum_disesuaikan	Not Adjusted
belum_diproses	Not Processed
belum_diketahui	Unknown
belum_dikembalikan	Not Returned
belum_dikirim	Not Shipped
belum_dibayar_sebagian	Partially Unpaid
belum_dibayar_penuh	Fully Unpaid
belum_dibayar_retur	Unpaid Return
belum_dibayar_batal	Unpaid Cancelled
belum_dibayar_selesai	Unpaid Completed
belum_dibayar_proses	Unpaid In Process
belum_dibayar_tunggu	Unpaid Waiting
belum_dibayar_verifikasi	Unpaid Verification
